"zipcode","PercentRiseSlope","Elevation","CatchPerSeMi","Impervious"
10001,0.88,26.409606,748.9,96.98015459
10002,1.28,25.201907,1137.2,96.65278266
10003,0.83,33.061101,893.5,95.62090713
10004,0,10.448953,1246.8,96.53942623
10005,1,15.435334,1699.8,99.17320513
10006,1.43,18.21594,2062.5,98.3630303
10007,1.21,25.309808,1219.2,97.33481818
10009,0.56,13.40132,720.5,86.78045351
10010,0.67,22.079728,1204.4,98.55027778
10011,0.64,18.93269,777,92.6458
10012,0.91,31.868402,1061.3,97.06197891
10013,0.92,15.174742,1451.1,98.66780994
10014,0.63,14.507245,1633.2,91.23902054
10016,1.6,32.42144,973,95.39063457
10017,1.43,46.171757,888.1,96.18608247
10018,1.16,34.305613,861.9,98.43406677
10019,1.48,43.410986,900.2,97.21438489
10021,1.48,50.883366,563.1,95.83845588
10022,1.48,47.54205,856.4,95.67598684
10023,1.62,66.227975,892.5,95.13085714
10024,3.26,55.30548,535,91.93541021
10025,2.82,97.254216,725.7,93.70947794
10026,2.05,36.072432,723.8,88.31214689
10027,2.47,53.315429,767.6,83.40624554
10028,1.81,55.351143,897.9,93.79804016
10029,1.12,18.949794,685.9,90.53301987
10030,1.96,28.134397,654,91.11456965
10031,4.93,88.66439,701,88.52150464
10032,6.84,109.696256,772.8,90.93726295
10033,4.79,161.146224,911.1,94.62736375
10034,4.95,46.571731,415.3,94.22177419
10035,1.41,25.264862,664.2,82.35758732
10036,1.1,37.578065,699.7,96.10223602
10037,0.59,12.972969,639.9,86.35601423
10038,1.12,20.090825,1766.5,97.97471125
10039,2.94,20.048331,880.8,90.49965636
10040,8.44,118.596114,569.8,92.32247241
10044,1.14,16.261711,0,63.37227273
10065,0,46.747054,713.9,94.82631309
10075,0,43.602573,626,94.7859215
10128,2.7,54.385477,719,91.27896302
10280,0.25,9.673582,1235.4,86.9
10301,5.85,189.808241,300.3,58.02212739
10302,1.09,29.530633,603.7,60.87424065
10303,1.14,26.18284,237.4,63.11953031
10304,5.63,115.129087,380.9,60.31572235
10305,1.92,51.378102,418.3,65.78433096
10306,1.85,34.633025,351.5,62.65400839
10307,1.78,37.23926,438.5,60.16880615
10308,1.47,42.759143,515.8,62.94224756
10309,1.98,58.898427,340.3,60.75937839
10310,2.75,69.624362,280.5,61.68289482
10312,1.78,65.864222,622.4,63.27689382
10314,2.8,89.531181,228.3,62.27311787
10451,1.48,33.363699,830.3,84.2846167
10452,3.98,65.245703,937,86.36885235
10454,1.39,27.637777,683,85.28092452
10455,1.19,34.983895,799.3,86.43278252
10456,2.16,62.960304,605.4,82.94855377
10457,2.18,79.950273,697.7,87.13085036
10458,2.11,91.161019,523.2,88.95929125
10459,1.81,48.20517,782.5,83.37459364
10460,1.84,55.364949,605.1,81.92296955
10461,1.46,38.637176,665.2,82.38804518
10462,1.45,46.316526,568.4,81.80239938
10463,5.44,98.523739,616,73.7940047
10464,1.69,23.062789,469.1,60.39945561
10465,1.13,22.32985,618.1,74.68691959
10466,2.89,116.094638,607.9,74.561027
10467,2.69,119.765266,504.2,82.69870119
10468,2.26,122.587646,452.4,89.44244332
